SerialNumber,EpochTime,Latitude,Longitude,APName,RSSI,Frequency,
1,1601098637257,26.52726748,128.02791702,AP005,-48, 2422,
1,1601098637257,26.52726748,128.02791702,AP001,-76, 2462,
1,1601098637257,26.52726748,128.02791702,AP002,-81, 2427,
1,1601098637257,26.52726748,128.02791702,AP004,-85, 2412,
1,1601098637257,26.52726748,128.02791702,AP003,-85, 2432,
2,1601098637778,26.52726834,128.0279201,AP005,-48, 2422,
2,1601098637778,26.52726834,128.0279201,AP001,-76, 2462,
2,1601098637778,26.52726834,128.0279201,AP002,-81, 2427,
2,1601098637778,26.52726834,128.0279201,AP004,-85, 2412,
2,1601098637778,26.52726834,128.0279201,AP003,-85, 2432,
3,1601098638315,26.52725049,128.02787269,AP005,-48, 2422,
3,1601098638315,26.52725049,128.02787269,AP001,-76, 2462,
3,1601098638315,26.52725049,128.02787269,AP002,-81, 2427,
3,1601098638315,26.52725049,128.02787269,AP004,-85, 2412,
3,1601098638315,26.52725049,128.02787269,AP003,-85, 2432,
4,1601098639328,26.52725845,128.02784816,AP005,-57, 2422,
4,1601098639328,26.52725845,128.02784816,AP001,-75, 2462,
4,1601098639328,26.52725845,128.02784816,AP002,-81, 2427,
4,1601098639328,26.52725845,128.02784816,AP003,-83, 2432,
4,1601098639328,26.52725845,128.02784816,AP004,-86, 2412,
5,1601098640319,26.52725647,128.0278471,AP005,-57, 2422,
5,1601098640319,26.52725647,128.0278471,AP001,-75, 2462,
5,1601098640319,26.52725647,128.0278471,AP002,-81, 2427,
5,1601098640319,26.52725647,128.0278471,AP003,-83, 2432,
5,1601098640319,26.52725647,128.0278471,AP004,-86, 2412,
6,1601098641309,26.52725574,128.02785046,AP005,-59, 2422,
6,1601098641309,26.52725574,128.02785046,AP001,-76, 2462,
6,1601098641309,26.52725574,128.02785046,AP002,-79, 2427,
6,1601098641309,26.52725574,128.02785046,AP004,-85, 2412,
6,1601098641309,26.52725574,128.02785046,AP003,-85, 2432,
7,1601098642326,26.52725546,128.02785532,AP005,-59, 2422,
7,1601098642326,26.52725546,128.02785532,AP001,-76, 2462,
7,1601098642326,26.52725546,128.02785532,AP002,-79, 2427,
7,1601098642326,26.52725546,128.02785532,AP004,-85, 2412,
7,1601098642326,26.52725546,128.02785532,AP003,-85, 2432,
8,1601098643319,26.52725509,128.02785398,AP005,-61, 2422,
8,1601098643319,26.52725509,128.02785398,AP001,-76, 2462,
8,1601098643319,26.52725509,128.02785398,AP002,-79, 2427,
8,1601098643319,26.52725509,128.02785398,AP003,-84, 2432,
9,1601098644324,26.52725541,128.02785334,AP005,-61, 2422,
9,1601098644324,26.52725541,128.02785334,AP001,-76, 2462,
9,1601098644324,26.52725541,128.02785334,AP002,-79, 2427,
9,1601098644324,26.52725541,128.02785334,AP003,-84, 2432,
10,1601098645316,26.52725516,128.02785221,AP005,-62, 2422,
10,1601098645316,26.52725516,128.02785221,AP001,-74, 2462,
